Mo,Nb
0.50,0.50
0.50,0.50
0.67,0.33
0.67,0.33
0.67,0.33
0.33,0.67
0.33,0.67
0.33,0.67
0.75,0.25
0.75,0.25
0.75,0.25
0.75,0.25
0.75,0.25
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.25,0.75
0.25,0.75
0.25,0.75
0.25,0.75
0.25,0.75
0.75,0.25
0.25,0.75
0.75,0.25
0.25,0.75
0.80,0.20
0.80,0.20
0.80,0.20
0.80,0.20
0.60,0.40
0.60,0.40
0.60,0.40
0.60,0.40
0.60,0.40
0.60,0.40
0.60,0.40
0.60,0.40
0.40,0.60
0.40,0.60
0.40,0.60
0.40,0.60
0.40,0.60
0.40,0.60
0.40,0.60
0.40,0.60
0.20,0.80
0.20,0.80
0.20,0.80
0.20,0.80
0.80,0.20
0.60,0.40
0.40,0.60
0.20,0.80
0.83,0.17
0.83,0.17
0.83,0.17
0.83,0.17
0.83,0.17
0.83,0.17
0.83,0.17
0.83,0.17
0.83,0.17
0.83,0.17
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.67,0.33
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.50,0.50
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.33,0.67
0.17,0.83
0.17,0.83
0.17,0.83
0.17,0.83
0.17,0.83
0.17,0.83
0.17,0.83
0.17,0.83
0.17,0.83
0.17,0.83
